Manufacturer,Year,Model,Hand,Km,Gear,Capacity_Engine,Engine_Type,Color,Test,Prev_ownership,Curr_Ownership,Area,City,Price,Cre_date,Repub_date,Pic_Num,Page_num,Description
קיה,2019,ספיה,2,95000,אוטומטית,1600,דיזל,אפור עכבר,51,ליסינג,פרטית,עכו - נהריה,נהריה,86000.0,2024-05-01,2024-05-17,5,1.0,"קיה ספורטאז טורבו דיזל, חסכונית בדלק, שמורה, מטופלת , נקייה מתאונות יד שנייה קילומטראז נמוך.
טסט עד אוגוסט
נא לא להתקשא בשבת"
קיה,2020,סטוניק,3,50000,אוטומטית,1600,בנזין,לבן,204,פרטית,פרטית,עמק יזרעאל,מגדל העמק,96000.0,2024-05-06,2024-05-06,1,1.0,רכב חדששששש
קיה,2017,פיקנטו,2,160000,אוטומטית,1200,בנזין,כסוף,82,פרטית,פרטית,אשדוד - אשקלון,אשקלון,50000.0,2024-04-15,2024-04-15,5,1.0,"רכב שמור ביותר , יד שניה , 160,000 קילומטראז׳ 
גמישות במחיר לרציניים"
קיה,2020,פיקנטו,2,34000,אוטומטית,1300,בנזין,לבן שנהב,173,אחר,פרטית,רמלה - לוד,רמלה,64000.0,2024-05-11,2024-05-11,10,1.0,"למכירה קיה פקנטו 2020

קיה פקנטו 2020
6/12/2020 עליה לכביש 
נפח מנוע 1249 סמ״ק 
34000 ק״מ סה״כ 
צבע לבן שנהב 
גיר פלנטרי אוטומט מלא !!!
( לא רובוטי ) 
טפולים !
טיפול ראשון 
בקיה מרכזי באר יעקוב 
שתי טיפולים במוסף מורשה 
הוחלף בטיפול אחרון 
 דסקיות קידמה 
החלפת מצבר 
עם אחריות ל 20 חודש 
מולטימדיה/ מצלמה אחורית
חיישני רוורס 
בלימה אוטונומי / מובילי 
רכב שמור / מעט ק""מ 

64000 ש״ח גמיש"
קיה,2018,פיקנטו,2,91000,אוטומטית,1200,בנזין,כסוף,,פרטית,פרטית,חיפה וחוף הכרמל,עתלית,57000.0,2024-03-19,2024-03-19,5,1.0,קיה פיקנטו כסופה שנת 2018 צורה החדשה רכב שמור ומטופל בקיה בלבד . חנה אך ורק בצל
קיה,2017,פיקנטו,3,122000,ידנית,1000,בנזין,שחור,,פרטית,פרטית,ראש העין והסביבה,ראש העין,29000.0,2024-01-02,2024-02-27,6,1.0,"קיה פיקנטו שנת 2017.

ידני, שמורה בחנייה מקורה.

מערכת תצוגה מתקדמת וחדישה. מצלמת רוורס חדשה. 

רכב נוח, חסכוני ושמור. 

צבע שחור. ללא תאונות ללא פגעים."
קיה,2017,פיקנטו,3,124000,ידנית,1000,בנזין,שחור,,פרטית,פרטית,ראש העין והסביבה,ראש העין,29000.0,2024-01-17,2024-01-17,8,1.0,"רכב שמור בחנייה מקורה. 
מטופל, נהג יחיד. 

מערכת מולטימדיה חדישה וגדולה ורמקולים. 
מערכת בקרה קדמית ואחורית. 

ללא תאונות."
קיה,2017,נירו EV,2,106000,אוטומטית,1600,היבריד,שחור,,פרטית,פרטית,ירושלים והסביבה,מעלה אדומים,85000.0,2023-12-26,2023-12-26,8,1.0,"דגם EX המפואר, רכב שמור ומטופל בזמן!!! נהגת יחידה. צמיגים חדשים, קיימת אחריות למצבר היברידי. רכב חסכוני בטירוף!! גדול ומרווח!"
קיה,2018,נירו PHEV,2,110000,אוטומטית,1600,היבריד,חום מטאלי,,פרטית,פרטית,ירושלים והסביבה,ירושלים,85000.0,2023-12-25,2023-12-25,2,1.0,"רכב שמור מאוד
דגם EX 
חסכוני בדלק"
קיה,2018,סיד,2,205000,אוטומטית,1600,דיזל,אפור מטאלי,,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,42000.0,2023-11-25,2023-11-25,5,1.0,רכב במצב מעולה ושמור
